y,F1,F2,F3,F4
1,181,-1.53E-04,-0.09037781,0.014556885
,,,,
1,4,-0.272583,-0.089157104,0.15138245
1,13,-0.38375854,-0.031723022,0.17825317
1,24,-0.21395874,0.035446167,0.12083435
1,33,0.00352478,0.14050293,0.08174133
1,41,0.15255737,0.24925232,0.04144287
1,49,0.2295227,0.29444885,-0.009872437
1,59,0.2136383,0.2578125,-0.050186157
1,69,0.117126465,0.16738892,-0.073410034
1,78,-0.0050354,0.06599426,-0.07829285
1,89,-0.10643005,-0.029281616,-0.073410034
1,99,-0.16506958,-0.085494995,-0.06607056
1,108,-0.17362976,-0.10258484,-0.056289673
1,120,-0.14186096,-0.101364136,-0.046524048
1,132,-0.10398865,-0.09526062,-0.037963867
1,137,-0.09176636,-0.092819214,-0.029418945
1,146,-0.09300232,-0.10258484,-0.014755249
1,156,-0.095443726,-0.10626221,0.002349854
1,167,-0.086883545,-0.092819214,0.014556885
,,,,
1,3,0.049926758,-0.117248535,-0.012313843
1,10,-0.27746582,-0.020751953,0.14038086
1,20,-0.2566986,-0.021957397,0.09640503
1,27,-0.044128418,0.009796143,0.030441284
1,37,0.11468506,0.111190796,0.021881104
1,46,0.20507812,0.20039368,-0.002532959
1,56,0.24417114,0.21380615,-0.020858765
1,66,0.20019531,0.17227173,-0.020858765
1,76,0.10368347,0.1270752,-0.012313843
1,86,0.018173218,0.086761475,0.001113892
